JN1     	11560.0	12153.0	11853.0	592.999	20.3892	16.2322	1.8809356e+09	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1270nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.0089938406	info/iris_filter_JN1.dat
JN2     	12031.0	12648.0	12336.0	617.000	19.9381	16.0957	1.7048476e+09	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1270nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.0089938406	info/iris_filter_JN2.dat
JN3     	12521.0	13163.0	12838.0	642.000	20.0052	15.1174	1.5974927e+09	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1270nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.0089938406	info/iris_filter_JN3.dat
JN4     	13031.0	13699.0	13361.0	668.000	19.4395	15.5195	1.3999919e+09	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1270nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.0089938406	info/iris_filter_JN4.dat
HN1     	14740.0	15495.0	15113.0	755.000	17.2113	13.2103	1.0586738e+09	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1629nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.011536194	info/iris_filter_HN1.dat
HN2     	15340.0	16126.0	15728.0	785.999	17.0863	13.1076	9.3978209e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1629nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.011536194	info/iris_filter_HN2.dat
HN3     	15965.0	16783.0	16369.0	818.000	17.1296	12.7190	9.1060745e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1629nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.011536194	info/iris_filter_HN3.dat
HN4     	16615.0	17467.0	17036.0	852.001	17.0920	13.1745	8.1178638e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1629nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.011536194	info/iris_filter_HN4.dat
HN5     	17292.0	18178.0	17730.0	886.000	17.1432	13.1723	7.2258467e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1629nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.011536194	info/iris_filter_HN5.dat
KN1     	19600.0	20604.0	20096.0	1004.00	16.6449	13.3379	4.9562216e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_KN1.dat
KN2     	20398.0	21443.0	20914.0	1045.00	15.9139	13.7658	4.6403714e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_KN2.dat
KN3     	21229.0	22317.0	21766.0	1088.00	15.2674	13.6595	4.2398513e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_KN3.dat
KN4     	22094.0	23226.0	22653.0	1132.00	14.5153	13.9294	3.5076518e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_KN4.dat
KN45    	22750.0	23850.0	23300.0	1100.00	14.0378	14.1386	3.3222547e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_KN45.dat
KN5     	22993.0	24172.0	23575.0	1179.00	13.7931	13.8620	3.5020212e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_KN5.dat
CaIIw   	8540.00	8660.00	8500.00	120.000	22.3887	20.3703	1.6163352e+09	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl928nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.0065718776	info/iris_filter_CaIIw.dat
HeIw    	10776.0	11049.0	10830.0	273.000	20.3643	15.9920	1.2771449e+09	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1092nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.0077332870	info/iris_filter_HeIw.dat
PaBetaw 	12750.0	13080.0	12818.0	330.000	19.9599	14.7419	8.1009680e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1270nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.0089938406	info/iris_filter_PaBetaw.dat
FeIIw   	16370.0	16790.0	16455.0	420.001	17.1317	12.7154	4.4078935e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1629nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.011536194	info/iris_filter_FeIIw.dat
Br_Gammaw	21550.0	22100.0	21660.0	550.001	15.2641	13.6806	2.0163831e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_Br_Gammaw.dat
COw     	22877.0	23460.0	22900.0	583.000	14.1899	14.2911	1.6538746e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_COw.dat
HeI     	10776.0	10884.0	10830.0	108.000	20.4549	15.6140	6.9941307e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1092nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.0077332870	info/iris_filter_HeI.dat
Jcont   	12072.0	12193.0	12132.0	121.000	19.8527	15.3280	5.7031861e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1270nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.0089938406	info/iris_filter_Jcont.dat
PaBeta  	12750.0	12880.0	12818.0	130.000	19.6073	14.6901	4.5210680e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1270nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.0089938406	info/iris_filter_PaBeta.dat
Hcont   	15725.0	15883.0	15804.0	158.000	16.9305	13.1893	2.3703904e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1629nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.011536194	info/iris_filter_Hcont.dat
FeII    	16370.0	16540.0	16455.0	170.001	16.9600	12.5234	2.0917584e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl1629nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.011536194	info/iris_filter_FeII.dat
H2one   	21100.0	21320.0	21210.0	220.001	15.7357	14.0142	1.0689789e+08	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_H2one.dat
Kcont   	21330.0	21540.0	21430.0	210.001	15.5360	13.7595	97475505.	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_Kcont.dat
Br_Gamma	21555.0	21770.0	21660.0	215.001	15.3274	13.4928	91639933.	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_Br_Gamma.dat
H2two   	22510.0	22730.0	22620.0	220.001	14.5234	14.5343	84198091.	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_H2two.dat
CO      	22760.0	23020.0	22890.0	260.000	14.2917	14.3909	88984446.	0	~/iris/sim/psfs/results_central/psf_x0_y0_wvl2182nm_implKOLMO117nm_bin4mas_sm.fits	0.00400000	0.015452409	info/iris_filter_CO.dat
